"WindCodes","RT_DATE","RT_TIME","RT_PRE_CLOSE","RT_OPEN","RT_HIGH","RT_LOW","RT_LAST","RT_LAST_AMT","RT_LAST_VOL","RT_LATEST","RT_VOL","RT_AMT","RT_CHG","RT_PCT_CHG","RT_MKT_VOL","RT_UP_TOTAL","RT_SAME_TOTAL","RT_DOWN_TOTAL","RT_PE_TTM"
SHIBOR3M.IR,20251121,110000,1.579,0,0,0,1.578,0,0,1.578,0,0,-0.001,-0.0006,0,0,0,0,0
SHIBOR6M.IR,20251121,110000,1.62,0,0,0,1.62,0,0,1.62,0,0,0,0,0,0,0,0,0
SHIBOR9M.IR,20251121,110000,1.639,0,0,0,1.64,0,0,1.64,0,0,0.001,0.0006,0,0,0,0,0
SHIBOR1Y.IR,20251121,110000,1.65,0,0,0,1.65,0,0,1.65,0,0,0,0,0,0,0,0,0
UST2M.GBM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UST4M.GBM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UST1M.GBM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UST3M.GBM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UST6M.GBM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UST1Y.GBM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UST2Y.GBM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UST3Y.GBM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UST5Y.GBM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UST7Y.GBM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UST10Y.GBM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UST20Y.GBM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UST30Y.GBM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USTIPS5Y.GBM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USTIPS7Y.GBM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USTIPS10Y.GBM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USTIPS20Y.GBM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USTIPS30Y.GBM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDB10Y.WI,20251120,0,1.8695,1.871,1.876,1.8669,1.871,0,0,1.871,156900,0,0.0015,0.0008,0,0,0,0,0
CDB1Y.WI,20251120,0,1.5975,1.6,1.6,1.5975,1.6,0,0,1.6,3300,0,0.0025,0.0016,0,0,0,0,0
CDB3Y.WI,20251120,0,1.6525,1.6525,1.6525,1.6475,1.6525,0,0,1.6525,3500,0,0,0,0,0,0,0,0
CDB5Y.WI,20251120,0,1.714,1.711,1.7175,1.71,1.711,0,0,1.711,11900,0,-0.003,-0.0018,0,0,0,0,0
CDB7Y.WI,20251120,0,1.855,1.855,1.8575,1.8525,1.855,0,0,1.855,2300,0,0,0,0,0,0,0,0
CDBF10Y.WI,20251120,0,1.8695,1.871,1.876,1.8669,1.871,0,0,1.871,156900,0,0.0015,0.0008,0,0,0,0,0
CDBF1Y.WI,20251120,0,1.5395,1.54,1.54,1.54,1.54,0,0,1.54,1700,0,0.0005,0.0003,0,0,0,0,0
CDBF3Y.WI,20251120,0,1.3835,1.3925,1.3925,1.3925,1.3925,0,0,1.3925,300,0,0.009,0.0065,0,0,0,0,0
CDBF5Y.WI,20251120,0,1.714,1.711,1.7175,1.71,1.711,0,0,1.711,11900,0,-0.003,-0.0018,0,0,0,0,0
CDBF7Y.WI,20251120,0,1.8429,1.8414,1.8414,1.8414,1.8414,0,0,1.8414,100,0,-0.0015,-0.0008,0,0,0,0,0
